"pattern","model","propagation_passes","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","max_abs_zero_mean","failed","error"
1,"carpenter",0,12,34,11638.7676507818,213.539697100796,0.58572506904602,2.81192539651564e-20,FALSE,NA
1,"carpenter",1,12,14,10971.6181051067,202.581622723955,1.59979104995728,5.01248691659283e-20,FALSE,NA
1,"pinkney",0,12,53,10565.8117905222,197.344262056821,0.673551082611084,4.54135834714264e-20,FALSE,NA
1,"pinkney",1,12,30,10935.4526401053,205.685073921403,1.71944499015808,1.11245493618208e-19,FALSE,NA
1,"ldl2",0,12,26,10617.8735209305,194.912776887206,0.675532102584839,3.75055813921578e-19,FALSE,NA
1,"ldl2",1,12,27,10025.6507289009,190.892055005729,1.82488703727722,9.23716073289289e-20,FALSE,NA
1,"ldl3",0,12,40,9839.82912742271,182.131365035774,0.672955989837646,9.80011142161749e-20,FALSE,NA
1,"ldl3",1,12,23,10285.1689374397,190.854869872698,1.91372799873352,3.14223886122866e-19,FALSE,NA
1,"rowscale",0,12,62,10729.4179635845,206.14467344729,0.669118881225586,7.68888724940345e-20,FALSE,NA
1,"rowscale",1,12,24,11670.8453275705,217.188576142074,1.70661997795105,8.39596007996262e-20,FALSE,NA
1,"schur",0,12,40,11035.864772946,207.827814409257,0.786320924758911,7.34328448296942e-20,FALSE,NA
1,"schur",1,12,29,10633.8626778814,200.15552397759,1.70709896087646,1.56437592134105e-19,FALSE,NA
2,"carpenter",0,11,97,10978.6323121769,204.242224846555,0.884334087371826,1.30869979784624e-19,FALSE,NA
2,"carpenter",1,11,53,11177.9118960247,206.63484418199,1.60119700431824,7.50911664392505e-20,FALSE,NA
2,"pinkney",0,11,72,10207.4597240835,185.414875464714,0.876283884048462,9.08222634161335e-20,FALSE,NA
2,"pinkney",1,11,54,10851.3610910665,199.078320449594,1.61766600608826,5.9512536036635e-20,FALSE,NA
2,"ldl2",0,11,98,10181.4759318504,187.694274713807,0.894353151321411,7.07651029279095e-20,FALSE,NA
2,"ldl2",1,11,70,11369.0230902944,213.014747251262,1.95368003845215,3.94218807896831e-20,FALSE,NA
2,"ldl3",0,11,105,10346.9928039424,193.06612438084,0.997459888458252,1.41810256629506e-19,FALSE,NA
2,"ldl3",1,11,53,12001.7923533079,222.721479267873,1.83625984191895,1.27774708536833e-19,FALSE,NA
2,"rowscale",0,11,58,9364.52696354228,170.642643018009,0.87832498550415,1.44883293578254e-19,FALSE,NA
2,"rowscale",1,11,26,10365.1037458467,188.295524657959,1.7135648727417,4.57601083199924e-20,FALSE,NA
2,"schur",0,11,68,10595.350740358,194.142936149483,1.234787940979,2.31375511521387e-20,FALSE,NA
2,"schur",1,11,48,11299.1661647855,205.978674434619,1.8344898223877,9.95128189549943e-20,FALSE,NA
3,"carpenter",0,13,46,10299.9858468856,192.999285093794,0.671898126602173,3.15168261094793e-20,FALSE,NA
3,"carpenter",1,13,28,10602.2120298843,202.765682946073,1.60472297668457,1.00973753198667e-19,FALSE,NA
3,"pinkney",0,13,38,11583.5399754583,221.452959937644,0.672531127929688,3.69292599932771e-20,FALSE,NA
