"pattern","variant","family","lookahead_span","propagation_passes","N_zero","divergences","min_ess","ess_per_1k_grad","seconds","max_abs_zero_mean","failed","error"
1,"cvine_span1","cvine",1,0,12,7,12301.764477518,230.318364366022,0.705143928527832,2.35081294299987e-20,FALSE,NA
1,"cvine_span2","cvine",2,0,12,2,12498.7306619535,235.52292647082,0.573369026184082,3.01543733112514e-20,FALSE,NA
1,"cvine_span3","cvine",3,0,12,1,11082.6211255331,215.619391924611,0.564033031463623,3.5588936613749e-20,FALSE,NA
1,"cvine_span4","cvine",4,0,12,0,11571.885108858,220.215519312972,0.556939125061035,4.02325353148766e-20,FALSE,NA
1,"cvine_span5","cvine",5,0,12,0,11571.885108858,220.215519312972,0.563583135604858,4.02325353148766e-20,FALSE,NA
1,"cvine_all","cvine",7,0,12,0,11571.885108858,220.215519312972,0.56221079826355,4.02325353148766e-20,FALSE,NA
1,"cvine_all_sweep1","cvine",7,1,12,0,11397.8554425503,219.392043473789,3.77577090263367,4.02375934387627e-20,FALSE,NA
1,"cvine_all_sweep2","cvine",7,2,12,0,11397.8554425503,219.392043473789,8.13206911087036,4.02375934387627e-20,FALSE,NA
1,"cvine_all_sweep4","cvine",7,4,12,0,11397.8554425503,219.392043473789,15.3113551139832,4.02375934387627e-20,FALSE,NA
1,"rowscale_pass0","rowscale",NA,0,12,62,10729.4179635845,206.14467344729,0.672748804092407,7.68888724940345e-20,FALSE,NA
1,"rowscale_pass1","rowscale",NA,1,12,24,11670.8453275705,217.188576142074,1.93885898590088,8.39596007996262e-20,FALSE,NA
1,"rowscale_pass2","rowscale",NA,2,12,24,11670.8453275705,217.188576142074,3.41190004348755,8.39596007996262e-20,FALSE,NA
1,"rowscale_pass4","rowscale",NA,4,12,24,11670.8453275705,217.188576142074,6.42162609100342,8.39596007996262e-20,FALSE,NA
2,"cvine_span1","cvine",1,0,11,20,11153.3294339415,214.507730242168,0.563890933990479,9.60437436033751e-20,FALSE,NA
2,"cvine_span2","cvine",2,0,11,0,12307.7312086272,227.954719377449,0.470560073852539,5.53000307261204e-20,FALSE,NA
2,"cvine_span3","cvine",3,0,11,0,12307.7312086272,227.954719377449,0.563905000686646,5.53000307261204e-20,FALSE,NA
2,"cvine_span4","cvine",4,0,11,0,12307.7312086272,227.954719377449,0.580319881439209,5.53000307261204e-20,FALSE,NA
2,"cvine_span5","cvine",5,0,11,0,12307.7312086272,227.954719377449,0.565161943435669,5.53000307261204e-20,FALSE,NA
2,"cvine_all","cvine",7,0,11,0,12307.7312086272,227.954719377449,0.556517124176025,5.53000307261204e-20,FALSE,NA
2,"cvine_all_sweep1","cvine",7,1,11,0,12109.7484608199,227.490014668243,4.08611297607422,6.18854770047527e-20,FALSE,NA
2,"cvine_all_sweep2","cvine",7,2,11,0,12109.7484608199,227.490014668243,7.24402713775635,6.18854770047527e-20,FALSE,NA
2,"cvine_all_sweep4","cvine",7,4,11,0,12109.7484608199,227.490014668243,14.9787459373474,6.18854770047527e-20,FALSE,NA
2,"rowscale_pass0","rowscale",NA,0,11,58,9364.52696354228,170.642643018009,0.880851984024048,1.44883293578254e-19,FALSE,NA
2,"rowscale_pass1","rowscale",NA,1,11,26,10365.1037458467,188.295524657959,1.8322172164917,4.57601083199924e-20,FALSE,NA
2,"rowscale_pass2","rowscale",NA,2,11,26,10365.1037458467,188.295524657959,3.50689911842346,4.57601083199924e-20,FALSE,NA
2,"rowscale_pass4","rowscale",NA,4,11,26,10365.1037458467,188.295524657959,6.20562195777893,4.57601083199924e-20,FALSE,NA
3,"cvine_span1","cvine",1,0,13,12,11428.8548524486,223.276512638925,0.670325040817261,1.34452736596509e-19,FALSE,NA
3,"cvine_span2","cvine",2,0,13,8,10353.0206861589,205.665998255009,0.669914960861206,5.60153359074095e-20,FALSE,NA
3,"cvine_span3","cvine",3,0,13,1,9535.2981834486,188.065523715999,0.67418098449707,9.17460770433498e-20,FALSE,NA
3,"cvine_span4","cvine",4,0,13,1,9535.2981834486,188.065523715999,0.568506002426147,9.17460770433498e-20,FALSE,NA
