"scenario","model","variable","row","col","lower","upper","mean","sd","q05","q50","q95","mcse_mean"
"all_positive","tri_sign","Omega[2,1]",2,1,0,1,0.352055865271074,0.212948820072682,0.03983141405,0.33243429,0.726167872,0.00316327135795432
"all_positive","tri_sign","Omega[3,1]",3,1,0,1,0.349686009891828,0.213125633457458,0.03804061505,0.334770385,0.729808855,0.00305904524434599
"all_positive","tri_sign","Omega[3,2]",3,2,0,1,0.354850274982518,0.215666312946583,0.0394806786,0.337953145,0.7371071405,0.00326661065806094
"all_positive","tri_sign","Omega[4,1]",4,1,0,1,0.349974647386914,0.212848350600954,0.03598417225,0.33458986,0.722732015,0.00304292605617703
"all_positive","tri_sign","Omega[4,2]",4,2,0,1,0.353924118823006,0.214222012716772,0.04066296415,0.337270025,0.72931983,0.00294962795335592
"all_positive","tri_sign","Omega[4,3]",4,3,0,1,0.356509485316977,0.219130673812836,0.0365265132,0.339215515,0.737527662,0.00313873084381996
"all_positive","tri_sign","Omega[5,1]",5,1,0,1,0.355050791318962,0.217535433666361,0.03562069545,0.341505535,0.7304875355,0.00301245582590664
"all_positive","tri_sign","Omega[5,2]",5,2,0,1,0.353946696426155,0.21341597890886,0.03866599355,0.33871407,0.7344434855,0.0031032994312086
"all_positive","tri_sign","Omega[5,3]",5,3,0,1,0.352878650933535,0.214430113072626,0.03631171985,0.33535942,0.7215767305,0.00297000293396385
"all_positive","tri_sign","Omega[5,4]",5,4,0,1,0.354233346884081,0.216310721896993,0.03622260155,0.33866462,0.7321019015,0.00300788540808368
"all_positive","global_ray","Omega[2,1]",2,1,0,1,0.354662127007287,0.2142575354729,0.03988232515,0.337793135,0.7285141495,0.00388045400937107
"all_positive","global_ray","Omega[3,1]",3,1,0,1,0.350735843901397,0.213410935794185,0.03990362755,0.336140105,0.719342394,0.00374093852441222
"all_positive","global_ray","Omega[3,2]",3,2,0,1,0.352998997413491,0.21110701487627,0.04171301435,0.33958208,0.724254906,0.00350981194507818
"all_positive","global_ray","Omega[4,1]",4,1,0,1,0.349334473946671,0.21413854235934,0.03919380535,0.33088442,0.7308643885,0.00348424912409837
"all_positive","global_ray","Omega[4,2]",4,2,0,1,0.357970923823784,0.215237218638901,0.04002691495,0.3420475,0.734420085,0.00368909675299506
"all_positive","global_ray","Omega[4,3]",4,3,0,1,0.35156555344384,0.213349401458479,0.0411431648,0.334213595,0.7278524535,0.00369284173313096
"all_positive","global_ray","Omega[5,1]",5,1,0,1,0.352623061025087,0.213728163414803,0.03835309855,0.33013103,0.73473445,0.00369735263864182
"all_positive","global_ray","Omega[5,2]",5,2,0,1,0.352546489259249,0.214287588272476,0.04012793315,0.334664555,0.7348673035,0.00381073420093449
"all_positive","global_ray","Omega[5,3]",5,3,0,1,0.349417481032681,0.213138651280568,0.04049041455,0.33142854,0.725738183,0.0037937595770038
"all_positive","global_ray","Omega[5,4]",5,4,0,1,0.355731140341671,0.214689446070991,0.04065188595,0.338185705,0.734306194,0.00369494496919533
"all_negative","tri_sign","Omega[2,1]",2,1,-1,0,-0.197770103639438,0.156630845197143,-0.5031163445,-0.159900755,-0.0134089979,0.0020388602567761
"all_negative","tri_sign","Omega[3,1]",3,1,-1,0,-0.19228326689399,0.152420953806254,-0.4888693415,-0.155302965,-0.0134310913,0.00189038573990222
"all_negative","tri_sign","Omega[3,2]",3,2,-1,0,-0.194024406056347,0.155811431609458,-0.5034723005,-0.15704602,-0.0126193824,0.00181301589220565
"all_negative","tri_sign","Omega[4,1]",4,1,-1,0,-0.195538031910263,0.155810977367888,-0.5064948665,-0.15891588,-0.01288747635,0.00193849328962088
"all_negative","tri_sign","Omega[4,2]",4,2,-1,0,-0.194767510745244,0.152801602643569,-0.497357865,-0.15864414,-0.01280359035,0.00177152945448857
"all_negative","tri_sign","Omega[4,3]",4,3,-1,0,-0.198444106498214,0.158618926063876,-0.5128193935,-0.1599571,-0.01174453695,0.00188583924899864
"all_negative","tri_sign","Omega[5,1]",5,1,-1,0,-0.193224699433504,0.154130319185336,-0.500289494,-0.157404585,-0.0133467946,0.00187188346693249
"all_negative","tri_sign","Omega[5,2]",5,2,-1,0,-0.193409966011469,0.154475063507968,-0.499449042,-0.158036635,-0.01227216315,0.00190238216656863
"all_negative","tri_sign","Omega[5,3]",5,3,-1,0,-0.195301684127504,0.154628038334365,-0.496317311,-0.162421895,-0.0127625675,0.00171359149508554
"all_negative","tri_sign","Omega[5,4]",5,4,-1,0,-0.192123329195757,0.152724091082553,-0.493580069,-0.15384942,-0.013857729,0.00194355710384301
"all_negative","global_ray","Omega[2,1]",2,1,-1,0,-0.193792285722728,0.154004877822995,-0.494575522,-0.157651025,-0.0143928581,0.00334634871040358
"all_negative","global_ray","Omega[3,1]",3,1,-1,0,-0.192405358418587,0.153215831142409,-0.4945673435,-0.155472995,-0.0138743067,0.00342192557310114
"all_negative","global_ray","Omega[3,2]",3,2,-1,0,-0.20425321036462,0.159021466719172,-0.511283314,-0.170120525,-0.01403460585,0.00367028692460039
"all_negative","global_ray","Omega[4,1]",4,1,-1,0,-0.19459866482331,0.156907091195363,-0.508165707,-0.15852571,-0.012233542,0.0035840320355036
"all_negative","global_ray","Omega[4,2]",4,2,-1,0,-0.190899062566109,0.151302391518235,-0.4856068415,-0.15587924,-0.0132760781,0.00345805895914347
"all_negative","global_ray","Omega[4,3]",4,3,-1,0,-0.19537261051929,0.155879304427517,-0.5045550035,-0.159062315,-0.01268581215,0.00350587161039829
"all_negative","global_ray","Omega[5,1]",5,1,-1,0,-0.197124483514657,0.159756385982618,-0.5110266155,-0.158348205,-0.01219436295,0.00350343529835389
"all_negative","global_ray","Omega[5,2]",5,2,-1,0,-0.191058281200156,0.153452311718136,-0.493570547,-0.15326949,-0.0137208104,0.00338673871090505
"all_negative","global_ray","Omega[5,3]",5,3,-1,0,-0.191805446405561,0.151076583706147,-0.4856399825,-0.15847662,-0.01333797485,0.00313968878037995
"all_negative","global_ray","Omega[5,4]",5,4,-1,0,-0.197382047790284,0.153531047039834,-0.497912719,-0.162479105,-0.01388794475,0.00350493766091135
"mixed_signs","tri_sign","Omega[2,1]",2,1,-1,0,-0.240248779929366,0.177450329071623,-0.576756124,-0.20258085,-0.01894868505,0.00227469489103279
"mixed_signs","tri_sign","Omega[3,1]",3,1,0,1,0.302685793801632,0.196542289960386,0.02967139925,0.27696128,0.661364051,0.00254768272639655
"mixed_signs","tri_sign","Omega[3,2]",3,2,-1,0,-0.307843307315681,0.199545043785275,-0.666516145,-0.281389355,-0.03047540655,0.0025781651289154
"mixed_signs","tri_sign","Omega[4,1]",4,1,0,1,0.23756009013251,0.172165913309019,0.0201178913,0.20274992,0.5662310905,0.00217737050417729
"mixed_signs","tri_sign","Omega[4,2]",4,2,0,1,0.20210769404917,0.159664019229362,0.01380506545,0.164174235,0.5220603265,0.00207986506320814
"mixed_signs","tri_sign","Omega[4,3]",4,3,0,1,0.304645977986382,0.199540070478414,0.02663879815,0.28035615,0.667441729,0.00267222303344824
"mixed_signs","tri_sign","Omega[5,1]",5,1,-1,0,-0.203974095400262,0.157338975481796,-0.513656956,-0.170043245,-0.01538252925,0.00216989497206847
"mixed_signs","tri_sign","Omega[5,2]",5,2,-1,0,-0.239084378031479,0.175763051026106,-0.5778743435,-0.20336112,-0.0175485032,0.00244436470261762
"mixed_signs","tri_sign","Omega[5,3]",5,3,0,1,0.307638019951227,0.202137235481831,0.0284720694,0.28394638,0.6772149235,0.00266019810857816
"mixed_signs","tri_sign","Omega[5,4]",5,4,0,1,0.242970137193908,0.177329876839444,0.0177167352,0.21208432,0.577865058,0.00216091251669083
"mixed_signs","global_ray","Omega[2,1]",2,1,-1,0,-0.239381306384817,0.177122679111145,-0.588466745,-0.20423683,-0.0176569319,0.00385912927932574
"mixed_signs","global_ray","Omega[3,1]",3,1,0,1,0.296943559813413,0.199328168362806,0.02816380925,0.26708845,0.6615988865,0.00416876213762139
"mixed_signs","global_ray","Omega[3,2]",3,2,-1,0,-0.306157837443996,0.201564374540749,-0.676828877,-0.279343655,-0.0286653724,0.00426934044350654
"mixed_signs","global_ray","Omega[4,1]",4,1,0,1,0.244798555699153,0.180382975569658,0.01781144075,0.2072815,0.5865534265,0.00379900006456426
"mixed_signs","global_ray","Omega[4,2]",4,2,0,1,0.201471316498864,0.156523750571508,0.0123808794,0.16685391,0.5068618345,0.00359104214863471
