"scenario","row","col","lower","anchor","upper","certified_eigenvalue_floor","minimum_corner_eigenvalue"
"all_positive",2,1,0,0.2,1,NA,NA
"all_positive",3,1,0,0.2,1,NA,NA
"all_positive",3,2,0,0.2,1,NA,NA
"all_positive",4,1,0,0.2,1,NA,NA
"all_positive",4,2,0,0.2,1,NA,NA
"all_positive",4,3,0,0.2,1,NA,NA
"all_positive",5,1,0,0.2,1,NA,NA
"all_positive",5,2,0,0.2,1,NA,NA
"all_positive",5,3,0,0.2,1,NA,NA
"all_positive",5,4,0,0.2,1,NA,NA
"all_negative",2,1,-1,-0.1,0,NA,NA
"all_negative",3,1,-1,-0.1,0,NA,NA
"all_negative",3,2,-1,-0.1,0,NA,NA
"all_negative",4,1,-1,-0.1,0,NA,NA
"all_negative",4,2,-1,-0.1,0,NA,NA
"all_negative",4,3,-1,-0.1,0,NA,NA
"all_negative",5,1,-1,-0.1,0,NA,NA
"all_negative",5,2,-1,-0.1,0,NA,NA
"all_negative",5,3,-1,-0.1,0,NA,NA
"all_negative",5,4,-1,-0.1,0,NA,NA
"mixed_signs",2,1,-1,-0.08,0,NA,NA
"mixed_signs",3,1,0,0.08,1,NA,NA
"mixed_signs",3,2,-1,-0.08,0,NA,NA
"mixed_signs",4,1,0,0.08,1,NA,NA
"mixed_signs",4,2,0,0.08,1,NA,NA
"mixed_signs",4,3,0,0.08,1,NA,NA
"mixed_signs",5,1,-1,-0.08,0,NA,NA
"mixed_signs",5,2,-1,-0.08,0,NA,NA
"mixed_signs",5,3,0,0.08,1,NA,NA
"mixed_signs",5,4,0,0.08,1,NA,NA
"heterogeneous_box",2,1,-0.072428348428117,-0.0193409921243266,0.0619962613020503,0.22,NA
"heterogeneous_box",3,1,-0.1091755611543,-0.049455951268657,0.0107413438147885,0.22,NA
"heterogeneous_box",3,2,0.0472063762264721,0.134987378267802,0.21025071034725,0.22,NA
"heterogeneous_box",4,1,-0.017707793359003,0.041658697517595,0.129235831274747,0.22,NA
"heterogeneous_box",4,2,-0.310074677706693,-0.228889916509603,-0.210696104802907,0.22,NA
"heterogeneous_box",4,3,0.112531280553702,0.145852425513057,0.187364945277158,0.22,NA
"heterogeneous_box",5,1,0.00627504492564758,0.0331903996250187,0.0530638008431273,0.22,NA
"heterogeneous_box",5,2,0.201174887164057,0.243660147572418,0.323357130907622,0.22,NA
"heterogeneous_box",5,3,0.183765616945976,0.220445505985022,0.302653115334163,0.22,NA
"heterogeneous_box",5,4,0.166158223851264,0.195387756867144,0.213870050190797,0.22,NA
"wide_heterogeneous_box",2,1,-0.438936519307591,-0.0193409921243266,0.393717274664394,NA,-1.10205813868714
"wide_heterogeneous_box",3,1,-0.400926331451966,-0.049455951268657,0.515889364552812,NA,-1.10205813868714
"wide_heterogeneous_box",3,2,-0.246312555709624,0.134987378267802,0.636168282998956,NA,-1.10205813868714
"wide_heterogeneous_box",4,1,-0.464021857308218,0.041658697517595,0.534745195003233,NA,-1.10205813868714
"wide_heterogeneous_box",4,2,-0.538148768011694,-0.228889916509603,0.153245211440856,NA,-1.10205813868714
"wide_heterogeneous_box",4,3,-0.132004160149755,0.145852425513057,0.50320178904125,NA,-1.10205813868714
"wide_heterogeneous_box",5,1,-0.530083040397003,0.0331903996250187,0.641680399172619,NA,-1.10205813868714
"wide_heterogeneous_box",5,2,-0.0657380932099026,0.243660147572418,0.561714481926073,NA,-1.10205813868714
"wide_heterogeneous_box",5,3,-0.0706844517132641,0.220445505985022,0.627137383249551,NA,-1.10205813868714
"wide_heterogeneous_box",5,4,-0.411567090036538,0.195387756867144,0.842544387416724,NA,-1.10205813868714
