"MORALG","CARESG","KNOWG","LEADG","DISHONG","INTELG","MORALB","CARESB","KNOWB","LEADB","DISHONB","INTELB"
0,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,0,0,1
1,1,1,1,1,1,1,0,1,1,0,1
1,0,1,0,1,1,1,1,1,1,0,1
1,1,1,1,0,1,0,0,0,0,0,0
1,1,1,0,0,1,1,0,1,1,0,1
1,1,1,1,0,1,1,0,1,0,0,1
1,1,1,1,0,1,0,1,1,1,0,1
1,1,1,1,0,1,1,1,1,0,1,1
1,0,1,1,0,1,1,0,1,0,1,1
1,1,1,0,0,1,0,1,1,1,0,1
1,0,1,0,1,1,1,1,1,1,0,1
1,0,1,1,0,1,1,1,0,1,0,0
1,1,1,1,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,0,1
0,0,1,1,1,1,0,0,1,1,1,1
0,0,1,0,0,0,1,1,1,1,1,1
1,1,1,1,0,1,0,0,0,0,1,0
1,1,1,1,0,1,0,0,1,0,1,1
1,0,1,1,1,1,1,0,0,0,1,0
1,1,1,1,0,1,0,0,0,0,0,0
0,0,0,0,1,1,1,1,1,1,0,1
0,1,1,1,0,1,0,0,0,0,1,1
0,0,1,1,0,1,1,0,1,1,0,1
1,1,1,0,0,1,1,1,1,1,0,1
1,0,0,0,0,1,1,1,1,1,0,1
1,1,1,1,0,1,0,0,1,0,0,0
1,0,0,0,0,1,1,0,1,1,0,1
0,0,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1
1,1,0,0,0,1,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,0,0,1
0,0,1,0,0,0,1,1,1,1,1,1
1,1,1,1,0,1,0,0,1,1,1,1
1,0,1,0,0,1,1,1,1,1,0,0
1,0,0,0,0,0,1,1,1,1,0,1
1,0,0,0,1,0,1,1,1,1,0,1
1,1,1,1,0,1,0,0,0,0,1,0
1,0,1,0,1,1,0,0,0,1,0,0
1,0,1,1,1,1,1,1,1,1,0,1
1,1,1,1,0,1,0,1,0,0,0,0
0,0,0,1,1,1,0,0,1,1,0,1
0,0,1,1,0,1,1,1,1,1,1,1
1,1,1,1,0,1,1,0,1,1,0,1
0,1,0,0,0,0,1,1,1,1,0,1
1,1,1,1,0,1,1,0,1,1,0,1
1,0,1,0,0,1,1,1,1,1,0,1
1,1,1,1,0,1,1,0,0,0,0,1
1,1,1,1,0,1,1,0,0,0,1,0
1,1,1,1,0,1,0,0,1,1,0,1
1,0,0,1,0,0,1,1,1,1,0,1
1,1,1,1,0,1,1,1,1,1,0,1
1,1,1,1,0,1,0,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,0,0,0,0,0
0,0,1,0,0,0,1,1,1,1,0,1
1,0,1,0,1,1,1,0,1,1,0,1
1,1,0,1,1,0,1,1,1,1,1,1
